Order - Status,Carrier - Service Sel,Date - Order Date,Date - Ship By Date,Order - Number,Item - SKU,MFPN,Item - Qty,Item - Name,Source,Market - Store Name,Order - Weight,Service - Package Type
Awaiting Shipment,UPS® Ground,1/30/2026 7:52:47 PM,2/2/2026 4:00:00 PM,111-9738455-7499410,YAM-G1922-BLK,GCM153,1,YAM-G1922-BLK,amazon,Amazon Store,162.0,Package
Awaiting Shipment,UPS® Ground,1/30/2026 6:44:11 PM,,400045096,EZGO-RXV-BEIGE,GCM37,1,E-Z-GO RXV Floor Mats - Fits All RXV Trims (2008-2022) / 2Five (2009+) / Western - Beige Trim,web,Xtreme Mats,128.0,Package
Awaiting Shipment,UPS® Ground,1/30/2026 6:44:11 PM,,400045096,,,1,XTREME10,web,Xtreme Mats,128.0,Package
Awaiting Shipment,UPS® Ground,1/30/2026 6:43:44 PM,,400045095,MAX56-GREY,RFM14,1,DoubleTake Max5 & Max6 - GREY Trim,web,Xtreme Mats,77.2,Package
Awaiting Shipment,UPS® Ground,1/30/2026 6:43:44 PM,,400045095,RFM-PINS-BUNDLE,RFMPB,1,Plastic Pins + Drill Bit Combo for Rear Floor Mats (RFM),web,Xtreme Mats,77.2,Package
Awaiting Shipment,UPS® Ground,1/30/2026 6:19:29 PM,2/2/2026 4:00:00 PM,113-0686173-4942659,EVOL-FOR-GREY,GCM161,1,*PRE-ORDER* Evolution Floor Mat - Fits 2023+ Evolution Forester *ONLY FITS MODEL WITH METAL PEDALS* - Grey Trim,amazon,Amazon Store,144.0,Package
Awaiting Shipment,UPS® Ground,1/30/2026 5:52:07 PM,,400045093,CLUB-PRESON-BLK,GCM09,1,Club Car Precedent/Onward - 1st row BLACK Trim,web,Xtreme Mats,137.6,Package
Awaiting Shipment,UPS® Ground,1/30/2026 4:06:56 PM,,400045091,velcro,velcro,1,Velcro,web,Xtreme Mats,226.0,Package
Awaiting Shipment,UPS® Ground,1/30/2026 4:06:56 PM,,400045091,EVOL-D5-B-BLK,GCM81B,1,Evolution D5 2nd Row Black,web,Xtreme Mats,226.0,Package
Awaiting Shipment,UPS® Ground,1/30/2026 4:06:56 PM,,400045091,EVOL-D5-A-BLK,GCM81A,1,Evolution D5 Front Row- All Black,web,Xtreme Mats,226.0,Package
Awaiting Shipment,UPS® Ground,1/30/2026 3:20:40 PM,2/2/2026 4:00:00 PM,113-2053790-7001811,EZGO-RXV-GREY,GCM04,1,EZGO RXV - 1st row GREY Trim,amazon,Amazon Store,128.0,Package
Awaiting Shipment,UPS® Ground,1/30/2026 2:05:40 PM,,400045089,CLUB-DS-BLK,GCM15,1,Club Car DS - 1st row BLACK Trim,3890849,Xtreme Mats,182.4,Package
Awaiting Shipment,UPS® Ground,1/30/2026 12:53:59 PM,,400045086,BW-EZGO-RXV-BLUE,BW20,1,Bag Well Mat for EZGO RXV BLUE Trim,web,Xtreme Mats,28.0,Package
Awaiting Shipment,UPS® Ground,1/30/2026 12:41:08 PM,,400045085,CLUB-PRESON-BLK,GCM09,1,Club Car Precedent/Onward - 1st row BLACK Trim,web,Xtreme Mats,275.2,Package
Awaiting Shipment,UPS® Ground,1/30/2026 12:41:08 PM,,400045085,CLUB-PRESON-GREY,GCM02,1,Club Car Precedent/Onward - 1st row GREY Trim,web,Xtreme Mats,275.2,Package
Awaiting Shipment,UPS® Ground,1/30/2026 12:12:47 PM,2/2/2026 4:00:00 PM,111-5827689-3940208,ALUM-CLIP-BLK,ALGCB,1,Aluminum Clips BLACK for Golf EZGO/YAM Set of 4,amazon,Amazon Store,178.0,Package
Awaiting Shipment,UPS® Ground,1/30/2026 12:12:47 PM,2/2/2026 4:00:00 PM,111-5827689-3940208,YAM-DRIVE-BLUE,GCM24,1,Yamaha Drive1- 1st row BLUE Trim,amazon,Amazon Store,178.0,Package
Awaiting Shipment,FEDEX Fedex Ground,1/30/2026 12:05:46 PM,,1555842,CLUB-PRESON-BLK,GCM09,55,Club Car Precedent/Onward - 1st row BLACK Trim,,Xtreme Mats VIP,27610.0,Package
Awaiting Shipment,FEDEX Fedex Ground,1/30/2026 12:05:46 PM,,1555842,ALUM-CLIP-BLK,ALGCB,55,Aluminum Clips BLACK for Golf EZGO/YAM Set of 4,,Xtreme Mats VIP,27610.0,Package
Awaiting Shipment,FEDEX Fedex Ground,1/30/2026 12:05:46 PM,,1555842,ALUM-CLIP-BLK,ALGCB,55,Aluminum Clips BLACK for Golf EZGO/YAM Set of 4,,Xtreme Mats VIP,27610.0,Package
Awaiting Shipment,FEDEX Fedex Ground,1/30/2026 12:05:46 PM,,1555842,YAM-DR2-BLK,GCM12,55,Yamaha DR2- 1st row BLACK Trim,,Xtreme Mats VIP,27610.0,Package
Awaiting Shipment,FEDEX Fedex Ground,1/30/2026 12:05:46 PM,,1555842,YAM-DR2-RED,GCM07,55,Yamaha DR2- 1st row RED Trim,,Xtreme Mats VIP,27610.0,Package
Awaiting Shipment,FEDEX Fedex Ground,1/30/2026 12:05:46 PM,,1555842,ALUM-CLIP-BLK,ALGCB,55,Aluminum Clips BLACK for Golf EZGO/YAM Set of 4,,Xtreme Mats VIP,27610.0,Package
Awaiting Shipment,UPS® Ground,1/30/2026 11:26:41 AM,2/2/2026 4:00:00 PM,111-1359692-5072240,CLUB-PRESON-BLK,GCM09,1,Club Car Precedent/Onward - 1st row BLACK Trim,amazon,Amazon Store,137.6,Package
Awaiting Shipment,UPS® Ground,1/30/2026 11:08:03 AM,2/2/2026 4:00:00 PM,113-0740422-3243409,EZGO-RXV-BLK,GCM10,1,EZGO RXV - 1st row BLACK Trim,amazon,Amazon Store,128.0,Package
Awaiting Shipment,UPS® Ground,1/30/2026 10:54:24 AM,2/2/2026 4:00:00 PM,114-1647717-1829032,GEN150-BLK,RFM03,1,Genesis 150 / GTW Mach1 - Black Trim,amazon,Amazon Store,77.2,Package
Awaiting Shipment,UPS® Ground,1/30/2026 10:54:24 AM,2/2/2026 4:00:00 PM,114-1647717-1829032,RFM-PINS-BUNDLE,RFMPB,1,Plastic Pins + Drill Bit Combo for Rear Floor Mats (RFM),amazon,Amazon Store,77.2,Package
Awaiting Shipment,UPS® Ground,1/30/2026 10:30:44 AM,,400045083,DM-CLUB-PRESON-BLUE,DM19,1,Dash Mats for Club Car Precedent/Onward BLUE Trim,web,Xtreme Mats,161.6,Package
Awaiting Shipment,UPS® Ground,1/30/2026 10:30:44 AM,,400045083,CLUB-PRESON-BLK,GCM09,1,Club Car Precedent/Onward - 1st row BLACK Trim,web,Xtreme Mats,161.6,Package
Awaiting Shipment,UPS® Ground,1/30/2026 10:30:44 AM,,400045083,,,1,XTREME10,web,Xtreme Mats,161.6,Package
Awaiting Shipment,UPS® Ground,1/30/2026 9:56:42 AM,2/2/2026 4:00:00 PM,112-5872132-9129837,velcro,velcro,1,Velcro,amazon,Amazon Store,290.0,Package
Awaiting Shipment,UPS® Ground,1/30/2026 9:56:42 AM,2/2/2026 4:00:00 PM,112-5872132-9129837,EPIC-E40FX-B-GREY,GCM158BV,1,EPIC E40FX Second Row Grey Trim,amazon,Amazon Store,290.0,Package
Awaiting Shipment,UPS® Ground,1/30/2026 9:56:42 AM,2/2/2026 4:00:00 PM,112-5872132-9129837,EPIC-E40FX-A-GREY,GCM158A,1,EPIC E40FX Front Row Grey Trim,amazon,Amazon Store,290.0,Package
Awaiting Shipment,UPS® Ground,1/29/2026 11:21:19 AM,,400045052A,DM-CLUB-PRESON-RED,DM01,1,Dash Mats for Club Car Precedent/Onward RED Trim,Edit Order,Xtreme Mats,20.0,Package
